"PRINCIPAL PARTS","GLOSS","CHAPTER"
"agricola agricolae m.","farmer","1"
"amō amāre amāvī amātus","to love","1"
"aqua aquae f.","water","1"
"dēbeō dēbēre dēbuī dēbitus","to owe; ought","1"
"doceō docēre docuī doctus","to teach","1"
"fāma fāmae f.","rumor, fame","1"
"fēmina fēminae f.","woman, wife","1"
"fortūna fortūnae f.","fortune, chance","1"
"habeō habēre habuī habitus","to have, hold","1"
"iaceō iacēre iacuī","to lie","1"
"iuvō iuvāre iūvī iūtus","to help; please","1"
"labōrō labōrāre labōrāvī labōrātum","to work","1"
"laudō laudāre laudāvī laudātus","to praise","1"
"nauta nautae m.","sailor","1"
"–ne","(added to the first word of a question)","1"
"optō optāre optāvī optātus","to desire; choose","1"
"rosa rosae f.","rose","1"
"superō superāre superāvī superātus","to overcome","1"
"taceō tacēre tacuī tacitus","to be silent","1"
"timeō timēre timuī","to fear","1"
"videō vidēre vīdī vīsus","to see","1"
"vocō vocāre vocāvī vocātus","to call","1"
"ager agrī m.","field","2"
"amīcus amīcī m.","male friend","2"
"animus animī m.","spirit, mind","2"
"audeō audēre ausus sum","to dare","2"
"bellum (duellum) bellī n.","war","2"
"clāmō clāmāre clāmāvī clāmātus","to call, shout","2"
"cōnsilium cōnsiliī n.","plan; council","2"
"dominus dominī m.","master","2"
"dōnum dōnī n.","gift","2"
"dubitō dubitāre dubitāvī dubitātus","to hesitate, doubt","2"
"et","and","2"
"et… et…","both...and…","2"
"littera litterae f.","letter (of the alphabet)","2"
"locus locī m. or loca locōrum n. pl.","place, region","2"
"nātūra nātūrae f.","nature","2"
"orō orāre orāvī orātus","to pray, plead","2"
"puella puellae f.","girl","2"
"puer puerī m.","boy, slave","2"
"–que","and","2"
"rēgnum rēgnī n.","royal power, kingdom","2"
"sed","but","2"
"terreō terrēre terruī territus","to terrify","2"
"vir virī m.","man","2"
"aedificō aedificāre aedificāvī aedificātus","to build, erect, establish","3"
"arma armōrum n.","arms, weapons","3"
"caelum caelī n.","sky, heaven","3"
"deus deī m.","god","3"
"dō dare dedī datus","to give","3"
"fābula fābulae f.","story","3"
"imperium imperiī n.","command, power","3"
"liber librī m.","book","3"
"mōnstrō mōnstrāre mōnstrāvī mōnstrātus","to show, point out","3"
"narrō –āre –āvī –ātum","to tell, report, recount","3"
"nēmō nēminis m. or f.","no one","3"
"nihil or nīl or nihilo n.","nothing","3"
"noceō nocēre nocuī nocitus","to harm","3"
"pāreō pārēre pāruī pāritus","to obey, appear, be present","3"
"placeō placēre placuī placitum","to please","3"
"portō portāre portāvī portātus","to carry a load","3"
"pugnō pugnāre pugnāvī pugnātum","to fight","3"
"soleō solēre solitus sum","to be accustomed","3"
"templum templī n.","temple","3"
"turba turbae f.","crowd, uproar","3"
"ventus ventī m.","wind","3"
"ā ab abs","from, by","4"
"ad","to, up to, towards","4"
"ambulō ambulāre ambulāvī ambulātum","to walk","4"
"casa casae f.","cottage, house","4"
"errō errāre errāvī errātus","to wander, err","4"
"ē ex","out of, from","4"
"festīnō festīnāre festīnāvī festīnātus","to hurry","4"
"in","in, on","4"
"moveō movēre mōvī mōtus","to move","4"
"nāvigō nāvigāre nāvigāvī nāvigātus","to sail, navigate","4"
"nōn","not","4"
"nunc","now","4"
"oculus oculī m.","eye","4"
"pontus pontī m.","the open sea","4"
"prō","on behalf of, for, instead of, in accordance with (+ abl.)","4"
"saepe","often","4"
"tandem","finally","4"
"trāns","across","4"
"tum or tunc","then, at that time","4"
"via viae f.","street","4"
"aeger aegra aegrum","sick","5"
"altus –a –um","tall, high; deep","5"
"bonus –a –um","good","5"
"cum","with (prep. +abl.)","5"
"cūra cūrae f.","care, concern","5"
"dīvīnus –a –um","divine","5"
"iactō iactāre iactāvī iactātus","to throw","5"
"līber lībera līberum","free","5"
"māgnus –a –um","great","5"
"malus –a –um","bad, evil","5"
"meus –a –um","my, mine","5"
"multus –a –um","much, many","5"
"noster nostra nostrum","our, ours","5"
"parvus –a –um / minor –us / minimus –a –um","small","5"
"pulcher pulchra pulchrum","beautiful","5"
"sapientia sapientiae f.","wisdom","5"
"saxum saxī n.","rock, boulder, stone","5"
"silva silvae f.","forest","5"
"sub","under","5"
"sum esse fuī futūrus","to be","5"
"terra terrae f.","land","5"
"tuus –a –um","your","5"
"vester vestra vestrum","your","5"
"cēna cēnae f.","dinner","6"
"dē","down from, about, concerning","6"
"diū","for a long time","6"
"enim","in fact, for","6"
"exemplum exemplī n.","sample, example","6"
"fīlia fīliae f.","daughter","6"
"fīlius fīliī m.","son","6"
"intrō intrāre intrāvī intrātus","to enter","6"
"Italia Italiae f.","Italy","6"
"laetus –a –um","happy","6"
